px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-27.5012     -13.1317     126.251     129.877     -16.7147     32.8006     186.806     190.399
-9.30143     49.6712     -108.967     120.115     -4.41623     20.8528     -46.6604     51.301
-40.0107     -7.73251     319.087     321.678     -7.2073     15.3172     323.092     323.536
-1.70727     38.9261     18.022     42.9296     34.9552     12.1177     -8.55877     37.9731
-21.3491     32.9845     -283.021     285.735     -17.0611     30.1704     -253.883     256.238
-67.5614     -36.5004     -48.4692     90.808     -7.79348     8.87873     -2.14212     12.0066
15.2451     3.86466     -47.1089     49.6648     76.4716     14.0288     -221.396     234.651
-44.5779     17.6005     -238.626     243.391     -6.78298     -12.4215     -144.629     145.321
-19.7354     7.26271     -37.467     42.9652     -54.2365     25.8559     -106.702     122.456
53.0074     31.5179     710.833     713.503     29.2365     14.574     363.132     364.598
-21.8096     13.4277     28.9984     38.6894     -24.8046     13.9116     33.2415     43.7469
43.6467     -33.8804     -399.507     403.31     -6.5509     -12.7079     -42.1959     44.5522
24.7336     -21.1711     31.3213     45.1773     21.6126     -18.1294     25.905     38.2995
4.42653     40.8137     -40.1259     57.4059     2.18524     34.2125     -36.6179     50.1611
33.9069     21.2579     44.0501     59.5145     -15.4563     27.9956     61.7267     69.5186
3.6459     -27.6573     -30.5017     41.3349     1.99075     -16.9164     -18.0207     24.8144
-4.15705     -31.1775     20.1483     37.3534     -10.0863     0.476385     14.7853     17.9112
-8.36593     25.544     -688.817     689.341     -12.9597     35.6978     -956.273     957.027
12.0823     -4.6639     -33.1059     35.5491     57.9491     -26.3951     -174.61     185.859
-23.3344     11.1882     15.3666     30.0966     40.7208     54.0587     47.7668     82.8383
5.38466     24.3241     49.0658     55.0282     14.991     56.3239     122.348     135.522
-42.3513     31.8865     7.77316     53.5799     4.49916     10.0626     13.6701     17.5674
-23.2334     9.54857     34.9847     43.0685     -8.90323     -35.3847     72.0593     80.7706
-3.08424     -13.0942     -2.04688     13.6074     -2.65071     -11.2744     -1.81125     11.7226
-9.48611     -34.6534     -295.756     297.931     -12.0608     -3.22885     -30.1669     32.6523
-37.9757     -8.29434     103.655     110.703     -9.49786     28.1659     65.2686     71.7183
-23.9599     -7.04013     -30.7448     39.6092     -11.2723     33.7827     -51.9478     62.9834
13.217     7.34293     -4.68686     15.8301     38.2212     -71.9428     26.6198     85.7044
-0.572896     -11.3023     12.7993     17.092     -4.11003     -31.8611     40.0841     51.3689
-11.3648     -0.658182     -21.0922     23.9733     -11.6565     -39.6548     -8.20105     42.1382
-19.4727     13.6217     -5.0896     24.3034     -55.0773     45.709     -12.9963     72.7443
47.082     -31.973     162.791     172.452     8.81338     5.06042     106.327     106.813
48.109     31.8974     34.7868     67.3947     13.6256     10.2222     9.22515     19.372
24.3471     -14.8862     113.225     116.766     8.54939     -5.22938     38.4693     39.7533
-25.3768     8.89178     -38.0451     46.5883     -14.1965     -34.2401     -121.065     126.613
-16.5514     12.8237     -36.4425     42.0292     -25.7136     17.403     -47.613     56.8423
-10.6423     6.84827     -18.0629     22.075     -55.2336     32.8484     -98.6185     117.709
8.67429     10.7059     -29.2307     32.3155     14.4458     15.7721     -48.6585     53.1516
-8.27083     -13.7946     13.3757     20.9191     -12.6902     -21.6066     17.5587     30.5973
-1.68547     12.0302     8.22111     14.6688     -7.8608     70.4253     39.0663     80.9178
-62.2702     2.46252     153.541     165.706     -2.88591     10.8008     65.4173     66.3657
4.04278     -24.24     -71.3326     75.4472     4.24355     -17.3764     -49.0122     52.1765
36.0589     15.375     755.424     756.441     19.2102     -3.17778     92.9023     94.9208
-84.6713     -6.11792     -181.875     200.711     10.1258     -3.09511     -23.7925     26.0421
-19.8874     -21.3714     49.4487     57.4231     -30.5611     22.918     36.1548     52.5964
63.6529     -8.3438     -382.997     388.34     -10.1127     -7.15848     -68.9121     70.0171
2.00985     11.2963     10.3558     15.4845     33.7283     2.0199     -3.13282     33.9337
-15.4464     35.0632     25.1873     45.8522     -19.8703     37.397     28.5611     51.0794
-21.8588     -27.0322     21.8769     41.0749     -15.8743     7.13562     -6.1879     18.4721
19.4965     -37.5911     160.592     166.082     7.27446     -10.615     48.2053     49.8934
3.3978     -34.0377     -20.6455     39.9544     2.36112     -12.5675     -8.35467     15.2827
-7.23197     -18.1619     -6.79631     20.6965     -13.4328     -30.0794     -9.74338     34.3532
12.0867     16.8742     17.5811     27.2019     5.74493     8.44559     9.35576     13.8521
-66.2021     16.1957     12.4971     69.2907     2.60954     11.7834     1.43513     12.1539
-30.6261     -14.7006     186.215     189.288     -15.9275     -8.5013     93.0948     94.8306
-80.1889     6.82254     -260.742     272.879     3.19455     13.2833     -12.7001     18.6533
-8.86235     -10.0973     102.08     102.961     -23.0487     27.979     191.596     194.995
-16.022     -2.25101     -48.5951     51.2178     -7.87843     50.9635     -57.3771     77.1458
57.7634     10.6465     -13.6023     60.2908     8.16632     -6.22164     15.3712     18.4844
46.4012     -17.9607     76.6069     91.347     12.6888     -5.9454     21.5713     25.7278
31.3259     -11.8911     -715.532     716.316     39.4651     -18.2831     -897.472     898.525
-3.65434     24.7796     41.6382     48.5914     -40.0266     14.9115     10.1637     43.9065
38.5954     -72.8413     9.91162     83.0284     5.80683     -9.67126     1.69769     11.4185
-20.008     16.6057     31.0309     40.4844     -13.1347     13.1518     20.0323     27.3277
-37.764     21.1243     61.6559     75.3247     -7.70319     -7.25431     48.3853     49.5288
23.2229     28.3812     54.2422     65.4753     -3.9318     9.77402     2.55249     10.8409
56.3723     3.23735     306.848     312     3.02635     13.3522     35.1388     37.7149
32.6881     -58.1696     352.059     358.326     4.48707     -9.68366     61.0426     61.9706
-10.7783     -6.34111     89.9752     90.8401     -23.5278     32.4924     117.508     124.167
-42.6534     -2.292     26.6325     50.3374     -14.7886     -0.539412     9.356     17.5332
-0.710123     -16.1619     -124.742     125.787     -2.81713     -38.9124     -311.723     314.156
-39.5868     6.73384     36.3025     54.1325     -3.44695     -10.9468     0.553426     11.4908
-0.812048     34.9649     72.7359     80.7076     -32.4014     21.02     256.704     259.593
35.2628     -57.0362     205.329     216.001     26.3036     13.3146     72.7492     78.4975
-21.9365     71.7894     58.2929     95.042     -18.1712     -6.34084     4.27857     19.7156
5.06771     -14.8337     11.6044     19.5034     6.04744     -17.4628     11.9715     22.019
36.5995     16.0414     -77.8981     87.5498     9.87157     4.81048     -22.6019     25.1284
11.8668     5.4539     41.6696     43.6683     3.28816     24.8481     12.3554     27.9445
-11.5922     3.17792     -223.743     224.068     -3.19393     9.52468     -48.9605     49.9805
-68.6427     -32.9021     30.3779     81.9585     -11.9059     -6.36699     5.65833     14.6398
10.4273     -4.30702     432.756     432.903     15.3922     16.9587     268.113     269.089
16.2754     12.127     -6.99558     21.4684     33.187     24.1917     -10.5672     42.4062
49.2984     73.072     -11.0426     88.8358     8.35864     16.3409     -2.36401     18.5063
-19.8694     -10.8802     -26.7203     35.0307     -0.757803     -12.6639     3.53168     13.169
13.7625     -59.0866     -51.4645     79.5565     4.73726     -16.2838     -15.8798     23.233
-25.982     0.376366     1.29751     26.0171     -5.84768     8.56929     15.8319     18.9282
19.7824     5.36858     -55.1614     58.8468     12.0982     3.3742     -28.4804     31.1269
0.733011     12.8444     13.7191     18.8077     -45.7889     10.0295     99.5585     110.041
3.75245     -15.3466     9.00501     18.1854     4.55566     -17.4761     8.58513     19.9968
-27.8677     -11.1194     7.803     31.0022     -17.608     -13.4624     74.4327     77.6628
22.552     10.7884     -80.7123     84.4953     -9.82136     9.69731     -103.658     104.573
7.56112     82.2792     469.619     476.832     1.64617     12.2857     72.9797     74.0266
11.2505     -19.3175     69.7404     73.2357     12.3371     -22.9898     81.0494     85.1469
-34.4569     -31.565     41.3491     62.3969     -9.35054     -9.47842     11.386     17.5261
-63.5638     -31.6269     -199.675     211.921     9.63285     -19.6648     -50.1572     54.7287
8.42346     2.66506     -5.48663     10.4     45.9151     13.1322     -34.0766     58.6674
-23.2871     -1.45372     -40.2652     46.537     -24.7471     -27.705     1.00441     37.1617
-12.0795     -3.43349     45.092     46.8083     -57.9171     -15.254     205.112     213.677
78.5745     -23.1282     -102.763     131.412     8.86168     11.0566     -59.8481     61.5026
7.36331     -23.399     -50.9088     56.5105     8.87689     -27.1111     -55.5451     62.4426
-13.2267     1.30562     -29.4473     32.3079     1.31582     52.1094     -245.375     250.85
-29.7311     -42.8333     17.9953     55.1585     9.60125     -7.00178     11.419     16.4804
-13.4442     30.31     -16.6749     37.1146     -23.0827     46.5073     -29.6481     59.7892
6.96444     -32.2813     -57.1149     65.9768     5.99196     -25.6072     -44.7927     51.9427
18.7433     10.4512     22.5269     31.1127     25.6892     53.4151     -41.6162     72.4225
-16.4443     65.0602     -45.7171     81.1991     -12.1113     -2.60547     1.75832     12.5225
30.3531     30.8471     14.1362     45.5268     -16.3801     31.3824     -15.9082     38.8102
-37.5769     -49.1894     -157.137     168.89     5.2884     -12.0726     -116.117     116.863
44.7227     -8.3986     210.157     215.027     40.8239     -4.91125     181.049     185.659
36.043     33.7372     -0.0142222     49.3691     -7.91129     25.4424     24.3782     36.1137
-33.5872     9.25144     -247.142     249.585     -7.70537     47.1088     -109.22     119.195
24.7013     -19.5482     -115.462     119.682     8.44131     -6.34705     -38.9176     40.3361
-29.8873     -35.675     -21.9207     51.4439     -9.11017     -9.82809     -6.62576     14.9495
26.3573     -26.8142     40.3999     55.1894     8.12603     -9.18741     14.0626     18.6606
-31.9481     23.6304     -83.4916     92.4657     -13.7342     9.61524     -36.4231     40.0995
-22.8006     17.6121     -32.4797     43.4192     -51.3798     37.4681     -70.6616     95.0621
-49.5914     28.6938     -116.683     129.991     -16.4265     9.3551     -40.6388     44.823
-11.6687     47.0505     3.99289     48.64     -3.59757     14.434     -0.169301     14.8848
12.3089     1.60797     -94.9232     95.7327     23.3348     2.38978     -173.339     174.919
3.77797     -28.1285     369.832     370.919     28.8221     -3.22721     153.687     156.399
-32.6486     -12.321     -3.08163     35.0354     -40.4645     -14.1984     -2.19056     42.942
29.0037     -9.04188     -71.8644     78.0222     23.724     -9.24936     -56.2789     61.7713
