px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
9.79875     27.6595     -71.9335     77.862     -112.446     -30.2535     -120.937     168.293
18.414     42.4275     -49.471     67.8384     51.093     -11.6255     -198.163     205.054
22.9178     -7.95378     57.4725     62.5393     -70.3173     -64.0216     781.247     787.027
30.6813     -21.8086     -18.184     42.0224     39.1329     80.4291     13.1294     90.6127
-49.7206     -16.8002     -231.194     237.103     -18.4029     94.094     -245.352     263.525
19.8228     40.6903     203.853     208.903     55.2595     -24.6721     85.446     104.797
46.2899     -15.4591     -98.0872     109.683     -34.4294     -83.4055     -551.12     558.483
27.302     -59.9012     50.6114     83.2041     -70.6834     -37.9933     -9.89506     81.4376
-37.2459     -60.4138     -690.287     693.947     -66.5228     57.7525     -725.932     731.313
-0.466417     -22.0108     178.512     179.897     -22.5255     138.125     621.948     637.528
54.1107     39.5341     -82.3906     106.444     36.4136     -57.4266     -168.677     182.002
4.90248     34.6357     17.3096     39.4264     107.18     -22.5004     300.4     319.81
-27.4431     43.4798     -4.75762     52.2577     -80.7733     -83.4289     -23.322     118.641
-53.6797     -13.8735     -69.2836     88.9018     26.9389     -68.8519     -36.1682     82.6825
-47.894     -17.4837     -32.7808     60.9438     -46.4802     51.7122     -276.904     285.563
-55.7376     -45.1755     -182.047     195.737     -56.3442     52.0216     -501.037     506.902
52.4399     -22.298     284.252     289.948     8.27612     -60.0196     1551.22     1552.42
-11.2119     -40.1289     -21.5654     47.2411     110.482     11.6698     -0.739094     111.368
-35.31     40.6628     457.885     461.075     -62.5217     -75.0648     416.988     428.348
44.5379     37.2267     -47.4135     75.1871     -10.9292     56.6636     60.0935     83.6062
14.1867     -19.7684     -177.402     179.088     -113.011     14.016     -272.439     295.37
38.0145     33.8461     17.3582     54.2557     39.0814     -94.788     79.3444     130.141
25.2664     25.4274     40.8254     54.5161     -97.1421     45.6699     0.845704     107.505
-14.244     47.5045     40.1428     63.9766     -52.4705     20.5475     337.604     342.334
29.5694     -36.9276     78.9804     92.093     -104.118     -27.8525     174.191     204.928
-21.9869     -33.4279     -491.539     493.171     121.617     -24.8626     -1150.05     1156.74
-22.714     29.4951     -173.06     177.085     -77.4318     -77.0495     -149.526     185.287
31.0533     -55.4682     19.3633     66.7043     81.1712     55.9727     12.8502     99.6734
36.7856     21.5133     -67.8532     80.299     24.6557     -106.278     -63.028     126.132
